,geometry,zip,puma,FIPS,tract2010,NCES_ID,ec_high_own_ses_hs,ec_high_parent_ses_hs,volunteering_rate_hs,exposure_parent_ses_hs,exposure_own_ses_hs,ec_own_ses_hs,ec_parent_ses_hs,black,white,hispanic,civic_organizations_zip,frac_coll_plus2016,nonwhite_share2010,SAT_Total,SAT_Math,SAT_ERW
740,"c(-121.8303, 37.2922)",95111,8513.0,6,6085503210.0,61182001301,1.59834,0.58898997,0.087820001,0.56717998,1.45734,1.3683,0.53969997,0.027,0.263,0.178,0.0029,0.1765,0.9531,1009.1663610041514,497.41225708091997,516.2889205296872
741,"c(-121.857391, 37.36883)",95133,8514.0,6,6085503708.0,61182001302,1.67215,0.91712999,0.085220002,0.80177999,1.55269,1.43961,0.79979002,0.02,0.074,0.387,0.00459,0.2418,0.945,1070.3138820628858,532.2672426638476,553.2499099514165
742,"c(-121.8306, 37.3674)",95127,8505.0,6,6085503903.0,61182001303,1.46232,0.69911999,0.02558,0.57449001,1.31827,1.2804199,0.61567003,0.018,0.262,0.248,0.0052899998,0.2037,0.8758,963.0786781793647,476.2301894143296,484.2599484121233
743,"c(-121.807773, 37.346438)",95127,8505.0,6,6085503509.0,61182001304,1.65378,0.88597,0.0277,0.79373997,1.55997,1.55068,0.79209,0.018,0.262,0.248,0.0052899998,0.1617,0.924,1026.6971572817642,511.9579710237391,519.8030406978908
744,"c(-121.8199, 37.2533)",95123,8511.0,6,6085512023.0,61182001305,1.68586,0.98891002,0.048969999,0.86732,1.56602,1.58097,0.87557,0.028,0.486,0.135,0.0045799999,0.2848,0.7536,1075.2515130369904,522.1094385276639,536.5936586635067
745,"c(-121.8299, 37.3305)",95122,8514.0,6,6085503504.0,61182001306,1.35776,0.39656001,0.02035,0.34808001,1.2082,1.18928,0.32297999,0.02,0.074,0.387,0.0077599999,0.1035,0.9814,939.1852559278427,470.8895289187127,475.73519629222733
746,"c(-121.8505, 37.4025)",95132,8504.0,6,6085504314.0,61182001307,1.82495,1.24395,0.12730999,1.19329,1.7627701,1.69534,1.22228,0.007,0.183,0.084,0.0054000001,0.4156,0.8521,1179.1673240098385,599.2273134877561,598.9145938707492
747,"c(-121.828, 37.2362)",95123,8512.0,6,6085512030.0,61182001308,1.78168,1.43616,0.057840001,1.37463,1.69482,1.70776,1.3975199,0.014,0.561,0.11,0.0045799999,0.4371,0.4684,1189.0694367790145,595.9815500283167,578.9938396989286
748,"c(-121.8059, 37.3044)",95121,8514.0,6,6085503336.0,61182001309,1.73861,1.07678,0.089230001,0.99755001,1.6495399,1.61677,1.01015,0.02,0.074,0.387,0.00306,0.1951,0.9281,1114.6782236518677,563.3436188487676,572.2070757367796
749,"c(-121.8501, 37.3208)",95122,8510.0,6,6085503122.0,61182001310,1.48928,0.53035003,0.061640002,0.41514999,1.3252701,1.2757601,0.41385001,0.029,0.482,0.192,0.0077599999,0.0934,0.8565,998.6306131018865,466.5825406173228,503.90051287558083
750,"c(-121.7787, 37.3238)",95148,8513.0,6,6085503326.0,61182010665,1.8493,1.39738,0.10874,1.33395,1.8079,1.77249,1.3269399,0.027,0.263,0.178,0.0043799998,0.5821,0.92,1248.9656232754373,632.6897551973394,615.2056178214948
751,"c(-120.8115, 38.7329)",95667,1700.0,6,6017031000.0,61207001342,1.31224,1.2603199,0.061280001,1.16809,1.0410399,0.97161001,1.14205,0.009,0.853,0.056,0.031739999,0.288,0.2463,1075.0842549216725,529.043291576987,541.6667869850229
752,"c(-120.942, 38.6738)",95682,1700.0,6,6017030803.0,61207001344,1.50186,1.47987,0.07621,1.43354,1.28202,1.2403899,1.4403501,0.009,0.853,0.056,0.017200001,0.2985,0.1507,1103.193149394737,545.9016301319126,556.8794730636715
753,"c(-121.0703, 38.6811)",95762,1700.0,6,6017030710.0,61207007279,1.75542,1.64382,0.056960002,1.62488,1.5855,1.5811599,1.6171401,0.009,0.853,0.056,0.01354,0.5636,0.1944,1148.5909907382209,570.7030968872746,585.196326051984
